,,,,SIDE 1,,,,,,,,,,,SIDE 1,,,,,,,,,,,Wire,,,,,COGS
SKU,IPN,Pin Count,Pack Size,Family 1,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Family 2,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Spec,Cost per Foot,Length,Qty (feet),Ext Cost,Material
MPA-MFJ-6p-F-M-12in-2pk,snappy-pencil-race,6,2,MFJ,"(MFJ) 2x3 Conn, Rec",0469920610,$0.52,2,$1.03,(MFJ) F Crimp for Rec,0039000038,$0.03,12,$0.38,MFJ,"(MFJ) 2x3 Conn, Plug",0469930611,$0.65,2,$1.31,(MFJ) M Crimp for Plug,0039000040,$0.04,12,$0.45,"18 AWG, Silicone, Black",$0.15,12in,13.2,$1.95,$5.13
MPA-MFJ-8p-F-M-6in-2pk,snowy-pig-read,8,2,MFJ,"(MFJ) 2x4 Conn, Rec",0469920810,$0.36,2,$0.72,(MFJ) F Crimp for Rec,0039000038,$0.03,16,$0.51,MFJ,"(MFJ) 2x4 Conn, Plug",0469930811,$0.45,2,$0.91,(MFJ) M Crimp for Plug,0039000040,$0.04,16,$0.60,"18 AWG, Silicone, Black",$0.15,6in,8.8,$1.30,$4.05
MPA-MFJ-8p-F-M-12in-2pk,snug-plane-ride,8,2,MFJ,"(MFJ) 2x4 Conn, Rec",0469920810,$0.36,2,$0.72,(MFJ) F Crimp for Rec,0039000038,$0.03,16,$0.51,MFJ,"(MFJ) 2x4 Conn, Plug",0469930811,$0.45,2,$0.91,(MFJ) M Crimp for Plug,0039000040,$0.04,16,$0.60,"18 AWG, Silicone, Black",$0.15,12in,17.6,$2.60,$5.35
MPA-MFJ-2p-M-M-6in-2pk,soapy-plant-rinse,2,2,MFJ,"(MFJ) 2x1 Conn, Plug",0469930211,$0.54,2,$1.09,(MFJ) M Crimp for Plug,0039000040,$0.04,4,$0.15,MFJ,"(MFJ) 2x1 Conn, Plug",0469930211,$0.54,2,$1.09,(MFJ) M Crimp for Plug,0039000040,$0.04,4,$0.15,"18 AWG, Silicone, Black",$0.15,6in,2.2,$0.33,$2.81
MPA-MFJ-2p-M-M-12in-2pk,spicy-plate-roll,2,2,MFJ,"(MFJ) 2x1 Conn, Plug",0469930211,$0.54,2,$1.09,(MFJ) M Crimp for Plug,0039000040,$0.04,4,$0.15,MFJ,"(MFJ) 2x1 Conn, Plug",0469930211,$0.54,2,$1.09,(MFJ) M Crimp for Plug,0039000040,$0.04,4,$0.15,"18 AWG, Silicone, Black",$0.15,12in,4.4,$0.65,$3.13
MPA-MFJ-4p-M-M-6in-2pk,spotty-pond-run,4,2,MFJ,"(MFJ) 2x2 Conn, Plug",0469930411,$0.36,2,$0.72,(MFJ) M Crimp for Plug,0039000040,$0.04,8,$0.30,MFJ,"(MFJ) 2x2 Conn, Plug",0469930411,$0.36,2,$0.72,(MFJ) M Crimp for Plug,0039000040,$0.04,8,$0.30,"18 AWG, Silicone, Black",$0.15,6in,4.4,$0.65,$2.70
MPA-MFJ-4p-M-M-12in-2pk,steep-pot-sail,4,2,MFJ,"(MFJ) 2x2 Conn, Plug",0469930411,$0.36,2,$0.72,(MFJ) M Crimp for Plug,0039000040,$0.04,8,$0.30,MFJ,"(MFJ) 2x2 Conn, Plug",0469930411,$0.36,2,$0.72,(MFJ) M Crimp for Plug,0039000040,$0.04,8,$0.30,"18 AWG, Silicone, Black",$0.15,12in,8.8,$1.30,$3.36
MPA-MFJ-6p-M-M-6in-2pk,stiff-queen-scoop,6,2,MFJ,"(MFJ) 2x3 Conn, Plug",0469930611,$0.65,2,$1.31,(MFJ) M Crimp for Plug,0039000040,$0.04,12,$0.45,MFJ,"(MFJ) 2x3 Conn, Plug",0469930611,$0.65,2,$1.31,(MFJ) M Crimp for Plug,0039000040,$0.04,12,$0.45,"18 AWG, Silicone, Black",$0.15,6in,6.6,$0.98,$4.50
MPA-MFJ-6p-M-M-12in-2pk,stormy-rabbit-scratch,6,2,MFJ,"(MFJ) 2x3 Conn, Plug",0469930611,$0.65,2,$1.31,(MFJ) M Crimp for Plug,0039000040,$0.04,12,$0.45,MFJ,"(MFJ) 2x3 Conn, Plug",0469930611,$0.65,2,$1.31,(MFJ) M Crimp for Plug,0039000040,$0.04,12,$0.45,"18 AWG, Silicone, Black",$0.15,12in,13.2,$1.95,$5.48
MPA-MFJ-8p-M-M-6in-2pk,sunny-rain-scream,8,2,MFJ,"(MFJ) 2x4 Conn, Plug",0469930811,$0.45,2,$0.91,(MFJ) M Crimp for Plug,0039000040,$0.04,16,$0.60,MFJ,"(MFJ) 2x4 Conn, Plug",0469930811,$0.45,2,$0.91,(MFJ) M Crimp for Plug,0039000040,$0.04,16,$0.60,"18 AWG, Silicone, Black",$0.15,6in,8.8,$1.30,$4.33
MPA-MFJ-8p-M-M-12in-2pk,tidy-ring-see,8,2,MFJ,"(MFJ) 2x4 Conn, Plug",0469930811,$0.45,2,$0.91,(MFJ) M Crimp for Plug,0039000040,$0.04,16,$0.60,MFJ,"(MFJ) 2x4 Conn, Plug",0469930811,$0.45,2,$0.91,(MFJ) M Crimp for Plug,0039000040,$0.04,16,$0.60,"18 AWG, Silicone, Black",$0.15,12in,17.6,$2.60,$5.63
MPA-UF3-2p-F-F-6in-2pk,tasty-river-sew,2,2,UF3,"(UF3) 2x1 Conn, Rec",0430250200,$0.23,2,$0.46,(UF3) F Crimp for Rec,0430300001,$0.04,4,$0.16,UF3,"(UF3) 2x1 Conn, Rec",0430250200,$0.23,2,$0.46,(UF3) F Crimp for Rec,0430300001,$0.04,4,$0.16,"20 AWG, Silicone, Black",$0.10,6in,2.2,$0.22,$1.47
MPA-UF3-2p-F-F-12in-2pk,tiny-road-shake,2,2,UF3,"(UF3) 2x1 Conn, Rec",0430250200,$0.23,2,$0.46,(UF3) F Crimp for Rec,0430300001,$0.04,4,$0.16,UF3,"(UF3) 2x1 Conn, Rec",0430250200,$0.23,2,$0.46,(UF3) F Crimp for Rec,0430300001,$0.04,4,$0.16,"20 AWG, Silicone, Black",$0.10,12in,4.4,$0.44,$1.69
MPA-UF3-4p-F-F-6in-2pk,vague-rock-shout,4,2,UF3,"(UF3) 2x2 Conn, Rec",0430250400,$0.29,2,$0.58,(UF3) F Crimp for Rec,0430300001,$0.04,8,$0.33,UF3,"(UF3) 2x2 Conn, Rec",0430250400,$0.29,2,$0.58,(UF3) F Crimp for Rec,0430300001,$0.04,8,$0.33,"20 AWG, Silicone, Black",$0.10,6in,4.4,$0.44,$2.25
